job_id,company_name,title,description,location,remote_allowed,formatted_experience_level,formatted_work_type,skills_desc,normalized_salary,application_url
3884923055,Tata Consultancy Services,Developer,"Skill: Machine Learning Python Developer

Candidate should have practical experience in implementing machine learning project end to end.They should be able to clearly explain the problem, machine learning solution and how it effectively addresses the issue. What was their specific role?Experience with tensor flow, kafka would be a huge plus.Candidate to demonstrate sound understanding of the implementation.This LOB has no machine learning implementation, but opportunities do exist to leverage m","New York, NY",False,Entry level,Full-time,"Python , Data Modeling , Machine Learning",0.0,https://ibegin.tcs.com/iBegin/jobs/305758J
3885812424,Tata Consultancy Services,Developer,"Skill: Salesforce Developer

Experience in Lightning web components, flows, apex.Exposure to salesforce Admin tasks which include case management, omni channel.Experience in Agile methodology, scrum.Exposure to Salesforce security modules, and handle roles, profiles, rules, etc.Excellent communications written and oral.Experience in API interfaces, MuleSoft is preferred, any other platform experiences would help.

","McLean, VA",False,Entry level,Full-time,"Salesforce(SFDC) , Apex , Agile",0.0,https://ibegin.tcs.com/iBegin/jobs/305857J
3885815054,Tata Consultancy Services,Palantir Developer,"We are seeking a skilled Data Engineer with a strong background in data pipeline creation, data visualization, and analytics. As a key member of our team, you will play a crucial role in designing, developing, and optimizing data solutions to drive actionable insights.

Responsibilities

Data Pipeline Creation:

oProficiently design, develop, and maintain data pipelines using the Palantir Foundry tool suite, including apps like Slate, Workshop, Contour, Taurus, Ontology Manager, Object View, and","Cleveland, OH",False,Entry level,Full-time,"Data Modelling , Big Data",0.0,https://ibegin.tcs.com/iBegin/jobs/305854J
3886846150,B. Braun Medical Inc. (US),"Director, Clinical Education / Sales Training","B. Braun Medical, Inc.

B. Braun Medical, Inc.


Director, Clinical Education / Sales Training

US-PA-Bethlehem

Job ID: 2024-23861
Type: Hybrid Full Time
# of Openings: 1
Category: Sales Training
B. Braun Medical Inc.

Overview

About B. Braun 

B. Braun Medical Inc., a leader in infusion therapy and pain management, develops, manufactures, and markets innovative medical products and services to the healthcare industry. Other key product areas include nutrition, pharmacy admixture and compoundi","Bethlehem, PA",False,Director,Full-time,"



PI239283007",0.0,https://www.click2apply.net/ngPnenCGPNxXyH76nH47bn
3886846261,Heritage Companies,Facilities & Maintenance Technician,"Description: WORK, PLAY & ENJOY LIFE WITH HERITAGE
We offer a work environment that is focused on the employee experience, extremely flexible work schedules and benefits that are unmatched in the industry; including generous discounts on hotel room rates and food at all of our restaurants in the portfolio across the state of New Mexico!
Full-time Hourly Position ranging from $16.00-$19 hourly DOE plus benefits.Located in Albuquerque, NM. Working out of our Hotel Albuquerque supporting all of the","Albuquerque, NM",False,Mid-Senior level,Full-time,"



PI239285910",0.0,https://www.click2apply.net/Z4OdP6T7mWjqrF1oJs682m
3886896874,Ascendion,UI Angular Developer,"About Ascendion
Ascendion is a full-service digital engineering solutions company. We make and manage software platforms and products that power growth and deliver captivating experiences to consumers and employees. Our engineering, cloud, data, experience design, and talent solution capabilities accelerate transformation and impact for enterprise clients. Headquartered in New Jersey, our workforce of 6,000+ Ascenders delivers solutions from around the globe. Ascendion is built differently to en","Richmond, VA",False,Entry level,Full-time,"Angular,frontend",0.0,https://ascendion.com/join-us/careers/career-detail/?post=329964&refid=col_linkedin
3887942743,Tata Consultancy Services,Embedded Systems Quality Engineer,"Review design requirements from system-level and subsystem-level design efforts to appreciate the design intent and ensure testability.Using interaction matrices, identify relevant test cases / scenarios and document in a test plan.Identify types of testing required, ranging from desktop verification, software-in-the-loop and hardware-in-the-loop testing, locomotive testing, and pilot fleet operation.Provide estimates of testing duration as input to planning processesThoroughly document all work","Melbourne, FL",False,Entry level,Full-time,"Matlab , Quality Analyst , Embedded",0.0,https://ibegin.tcs.com/iBegin/jobs/306195J
3887945490,Tata Consultancy Services,Database Administrator AS400,"BRMS, Tapes and Restore,Printer , General. TCP Administration. OS : As400 / IBMi (V5R4 to V7R5) Replication Tools : QEDD, iTera and MIMIX Monitoring Tools : Nimbus, Tivoli, Control-M, Nagios and SolarWinds.

Scheduling Tools : AJS, Robot, Control-M, Halcyon, TaaTools",United States,True,Entry level,Full-time,AS400 Admin,0.0,https://ibegin.tcs.com/iBegin/jobs/303982J
3887946258,Tata Consultancy Services,PLM Business Analyst,"This is a business analysis job in Product Lifecycle Management discipline.

Significant Relevant Experience, Including Supervisory Experience, Required.

Work with customers to translate high-level business requirements into detailed functional specifications and manage changes to the specifications to support impacted business functions and systems.Support the program team in determining how business requirements can and should be designed and automated, and how they are then integrated with o","Indianapolis, IN",False,Mid-Senior level,Full-time,"Business Analysis , PLM",0.0,https://ibegin.tcs.com/iBegin/jobs/306193J
3888487983,Collabera,Java Fullstack Developer,"Job Title: Software Developer
Location: Plano TX(Hybrid)
Duration: 12 Months Contract
 
Required Skills

Expertise in Web Application development using ReactJS and Java Spring.
Knowledge and experience in Java Spring JPA, Hibernate, Spring JDBC, Node.js
Knowledge in HTML5, CSS3, JQuery, Redux.
Good experience in SDLC, Agile, Continuous Integration Continuous Delivery, and change management - Jira, Bitbucket, Jenkins, Artifactory, Ansible","Plano, TX",False,Entry level,Contract,"Java,spring,reactjs,Spring JPA,Hibernate,Spring JDBC, Node.js,HTML5,CSS3,JQuery,Redux,Tomcat 9.0 ,Jboss,Oracle 19c,Maven 3.0",0.0,https://collabera.com/join-us/careers/career-detail/?post=348009&refid=col_linkedin
3888490681,Collabera,Terraform Engineer,"Must-Haves:

Terraform expertise and developement experience on backend
Design and development of cloud landing zones.
Cloud services provisioning automation.
CI/CD pipeline development.
Collaboration and communication skills.
Proficient in Terraform and Azure data analytics technologies.
Experience with Azure Data Factory, Azure Data Lake, Azure Databricks, MS-Purview, and Power BI.
Data processing and transformation skills.

 ","Addison, TX",False,Entry level,Contract,"Devops,Cloud ,Azure,AWS,GCP,Cloud Engineer,Devops Engineer,CI/CD,Terraform,Azure Data Factory,Azure Data Lake,Azure Databricks,Databricks,Power BI,Data Processing,Data Transformation,Cloud Services",0.0,https://collabera.com/join-us/careers/career-detail/?post=347473&refid=col_linkedin
3888815376,Collabera,EXT JS Developer,"Position Details: 
Position: Java/JavaScript developer with very strong exp with ExtJS 
Location: Charlotte (Preferred) or Raleigh 
Duration: 12-18 Months (Possibility of Full-Time Conversion) 
Must Haves: 

<li data-leveltext=""?"" data-font=""Symbol"" data-listid=""1"" data-list-defn-props=""{""335552541"":1,""335559683"":0,""335559684"":-2,""335559685"":720,""335559991"":360,""469769226"":""Symbol"",""469769242"":[8226],""469777803"":""left"",""469777804"":""?"",""469777815"":""hybridMultilevel""}"" data-aria-posinset=""1"" data-","Charlotte, NC",False,Entry level,Contract,"Ext JS,javascript,MVC",0.0,https://collabera.com/join-us/careers/career-detail/?post=348014&refid=col_linkedin
3890897930,FFF Enterprises,SAP eCommerce Cloud Frontend Developer,"

Position Summary

The SAP eCommerce Cloud Frontend Developer is responsible in developing solutions within the Commerce Cloud (CCv2) platform. Working as part of the Digital commerce team in a hybrid setup (in any of FFF’s distribution centers), the software Frontend developer will collaborate with different stakeholders to design, develop and make continuous improvements to Commerce Cloud to transform customer experience on their digital commerce journey. This Frontend Developer will be respo","Temecula, CA",False,Mid-Senior level,Full-time,"

Education, Knowledge, Skills and Experience

Required Education:

 Bachelor’s degree in engineering, computer science, math or a related field of study; or four (4) years of relevant experience in lieu of degree.  

Required Knowledge:

 Expert knowledge of SAP Commerce Cloud’s Front-End (Spartacus), storefront accelerators, JSP, Spring Framework and ability to develop and test SAP Commerce software code as directed by the project Technical Lead or Architect Working knowledge of Spartacus, JavaScript and Angular, as well as the SAP Commerce Cloud and Commerce APIs. Working knowledge of responsive web design and Progressive Web Application (PWA) development Experience with software development frameworks and tools, including but not limited to JavaScript, Angular, node.js, yarn, GIT, Bitbucket, Jira, Confluence, SAP DevOps. Experience in Web Content Management and its corresponding customizations in SmartEdit or external CMS Systems. Experience in Product Content Management and its corresponding customizations in Backoffice PCM  And any additional 3^rd party CMS solutions if needed. Extensive experience in account management, order management, pricing & promotions, B2B. Work with dedicated third-party support and other teams on products and solutions. Must be a self-starter, can adapt to the use of modern technology, able to multi-task, and able to work independently. Knowledge of security/access control, scalability, high availability, concurrency, online diagnoses, deployment, upgrade/migration, internationalization, production support, and other SaaS enterprise software issues. Keen eye for good UI/UX, responsive design, and the ability to develop clean user-friendly deliverables. Must have a disciplined, methodical, minimalist approach to designing and constructing layered software components that can be embedded within larger frameworks or applications. Understanding of healthcare distribution model and business processes preferred Strong working knowledge of Agile software development processes and how to take a solution from concept through design, development, testing, and deployment.  

Required Experience:

 Three (3) years [seven (7) for non-degreed candidates] expert knowledge of SAP Commerce Cloud’s Frontend (Spartacus), storefront accelerators, JSP, Spring Framework and ability to develop and test SAP Commerce software code as directed by the project Technical Lead or Architect. Working knowledge of Spartacus, JavaScript and Angular, as well as the SAP Commerce Cloud and Commerce APIs. Working knowledge of responsive web design and Progressive Web Application (PWA) development Experience with software development frameworks and tools, including but not limited to JavaScript, Angular, node.js, yarn, GIT, Bitbucket, Jira, Confluence, SAP DevOps Experience in Product Data modeling, catalog structure, and workflow. Familiarity with headless integration Experienced with Agile Scrum, strong skills in Atlassian toolset (JIRA, Confluence) and Git Strong experience in Java/J2EE, tag management / Google analytics, web content management, digital asset management, website monitoring tools, B2B ecommerce processes and web services.  

Preferred Experience:

 Three (3) years of progressive experience in SAP eCommerce Cloud (CCv2) Frontend. Five (5) years of experience in the healthcare distribution industry. Five (5) years of experience in the healthcare industry. SAP Commerce Cloud CCv2 certification:  SAP Commerce Cloud...",0.0,https://ars2.equest.com/?response_id=8e7f802c5c8ed26fdd99c6c69935c13b
3891005613,CapRadio,Senior Broadcast Engineer,"Department: Operations

Status: Full-Time

End Date: Open Until Filled

CapRadio's Operations team is dedicated to delivering high-quality broadcasts to listeners across Northern California and Nevada through both traditional and digital platforms. As a Senior Broadcast Engineer, you will play a crucial role in maintaining and enhancing the terrestrial and digital broadcast and production facilities for CapRadio's group of stations. We are seeking an individual with a passion for radio broadcast","Chico, CA",False,Mid-Senior level,Full-time,"Qualifications/Experience

 Demonstrated knowledge of FM RF transmission, digital STL microwave and satellite uplink and downlink systems. Knowledge of FCC Rules and regulations for licensed broadcast facilities. At least 5 years of broadcast engineering experience and associate degree in a related field or equivalent experience. Must be a licensed driver, insurable with own transportation and be available/on call when requested. Ability to drive a 4-wheel drive vehicle required. Position requires travel to transmitter sites across Northern California. Some overnight travel may be required. Must hold a valid FCC Operators License Society of Broadcast Engineers Certification at senior level or above is desired Must be familiar with the public radio industry, new media delivery, FCC regulations, and not-for-profit business The ability to handle project administration, budget planning and purchasing Computer knowledge, both user and systems administration Team building and strong social skills

This role requires 80% travel to our remote tower sites.

Employment and Education verification will be required for the new hire.

Salary

The hourly compensation for this role is 80,000-85,000/annually

CapRadio Also Offers

Competitive medical, dental, vision, chiropractic, and acupuncture insuranceRetirement plan Paid holidaysTwo weeks of flexible, accruable vacation time offPaid sick leaveGroup life insuranceFlexible spending plan for health and dependent care

Apply

Please upload your resume and cover letter. Address your letter to the hiring manager, David Born, Director of Operations. For inquiries or assistance with the application process, contact careers@capradio.org.

CapRadio

Attn: Human Resources

7055 Folsom Blvd.

Sacramento, CA 95826

Capital Public Radio is an equal opportunity employer.

PI239385614",0.0,https://www.click2apply.net/ML1QgRcJajGwyf1kPuaD2G
3891012935,"Campbell Transportation Company, Inc.",Port Captain,"The Port Captain acts as the primary point of contact between all areas of Gulf operations, logistics, management, and the vessels.

Essential Responsibilities

Select, manage, and evaluate vessel captains and their crew; ensure all vessel personnel placement and licensing comply with regulatory requirementsServe as primary liaison between vessel crew and shore-side personnelContinuously identify and implement innovations across your fleet to improve productivity.Ensure vessels are operated and ","Channelview, TX",False,Mid-Senior level,Full-time,PI239426147,0.0,https://www.click2apply.net/o1nxamid6eEAguxYKhZDMb
3891058007,"GoldenWolf, LLC",Structural Engineer -  BUILDER - SMS,"Description

Location

Based in San Antonio, On-Site

Essential Functions

The Structural Engineer is responsible for providing program support for a comprehensive Defense Health Agency (DHA) BUILDER sustainment program and coordinates directly with Facilities Departments/Divisions at the designated Activities. The BUILDER Sustainment Management System (SMS) is a web-based software application developed to help engineers, managers, and technicians decide when, where, and how to maintain building","San Antonio, TX",False,Mid-Senior level,Full-time,PI239439201,0.0,https://www.click2apply.net/XR1O6ahVBdaOVHJKjIeYkL
3891075232,UST,Cloud Platform Architect,"Role Description

Cloud Platform Architect II

Lead II - Software Engineering

Who We Are

Born digital, UST transforms lives through the power of technology. We walk alongside our clients and partners, embedding innovation and agility into everything they do. We help them create transformative experiences and human-centered solutions for a better world.

UST is a mission-driven group of over 39,000+ practical problem solvers and creative thinkers in over 30+ countries. Our entrepreneurial teams","Aliso Viejo, CA",False,Mid-Senior level,Full-time,"Aws Cloud,Devsecops,Cloud Security,Sysops",0.0,https://usource.ripplehire.com/candidate/?token=8YxWjpwDhdL62DFYUIcQ&lang=en&source=USTLINKEDIN&ref=USTLINKEDIN#detail/job/16878
3891257901,Medtronic,HR Digital Solutions Functional Business Analyst,"

**The salary range noted in this posting represents US salary data only** 

 Careers that Change Lives 

The HR Technology Business Analyst will report to the Sr. Director of HR Digital Solutions and Services supporting the implementation, enhancement, and management of new and existing HR technology solutions. This role will be an individual contributor role, collaborating across a matrixed global stakeholder group including HR leaders and experts, IT, Digital Enablement, and other functional","Minneapolis, MN",False,Mid-Senior level,Full-time,"Must Have: Minimum Requirements Bachelor's Degree with 7+years of experience with Workday HCM technology and solutions delivery with specific focus on functional / technical business analyst activities; or, an advanced degree with 5+ years’ experience  Nice to Have Bachelor’s degree in a relevant field such as Human Resources, IT, Business Administration, or a related discipline Workday Talent, Recruit, Adaptive experience Proven history of leading and supporting assessment & implementation of HR technology. Excellent communication skills, able to articulate ideas clearly and influence decision making processes. Experience working across multi systems in an org with a broad tech landscape. Proficiency in Human Resources concepts and processes. Able to collect, analyze and effectively communicate data/metrics to drive improvements. Proficiency in Change & Project Management concepts. Experience in implementing core HR technology; Workday or ServiceNow HR experience a plus  Experience working in a global and matrixed Fortune 500 organization  About Medtronic

 Together, we can change healthcare worldwide. At Medtronic, we push the limits of what technology, therapies and services can do to help alleviate pain, restore health and extend life. We challenge ourselves and each other to make tomorrow better than yesterday. It is what makes this an exciting and rewarding place to be. 

 We want to accelerate and advance our ability to create meaningful innovations - but we will only succeed with the right people on our team. Let’s work together to address universal healthcare needs and improve patients’ lives. Help us shape the future. 

 Physical Job Requirements 

 The physical demands described within the Responsibilities section of this job description are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. For Office Roles: While performing the duties of this job, the employee is regularly required to be independently mobile. The employee is also required to interact with a computer, and communicate with peers and co-workers. Contact your manager or local HR to understand the Work Conditions and Physical requirements that may be specific to each role. (ADA-United States of America)
 

A commitment to our employees lives at the core of our values. We recognize their contributions. They share in the success they help to create. We offer a wide range of benefits, resources, and competitive compensation plans designed to support you at every career and life stage. Learn more about our benefits here. 

 

This position is eligible for a short-term incentive plan. Learn more about Medtronic Incentive Plan (MIP) here. 

 

The base salary range is applicable across the United States, excluding Puerto Rico and specific locations in California. The offered rate complies with federal and local regulations and may vary based on factors such as experience, certification/education, market conditions, and location. Compensation and benefits information pertains solely to candidates hired within the United States (local market compensation and benefits will apply for others).",0.0,https://ars2.equest.com/?response_id=dde64071a10bfb0fc9b5f54497cb4b30
3894205736,Collabera,Claim Adjuster,"Job Details: 
Title: Claims Adjuster
Location: Remote
Duration: 06 months of contract 
Pay: $18/Hr. to $20/Hr. 
Must Have:


Work is remote EST Hours

Adjuster license in New York State is Required 

Day to day:


Investigate, evaluate and settle claims, applying technical knowledge and human relations skills to effect fair and prompt disposal of cases and to contribute to a reduced loss ratio.


Adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent ","New York, NY",False,Entry level,Contract,"Claims Adjuster,Adjuster license in New York",39520.0,https://collabera.com/join-us/careers/career-detail/?post=348163&refid=col_linkedin
3894295647,Collabera,Claims Adjuster (Remote),"Position Details

Client: Banking
Role: Claims Adjuster (Remote)
Project Location: Remote
Project Duration: 6+ Months
Pay Range: $15/hour to $20/hour
Shift: EST hours

Job Description:


Investigate, evaluate and settle claims, applying technical knowledge and human relations skills to effect fair and prompt disposal of cases and to contribute to a reduced loss ratio.


Adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies.


","New York, NY",True,Entry level,Contract,"Claims Adjusting/Claims Processing/Claims Examining/Claims Settlement,Adjuster Licence for NY State,MS Office,document management",0.0,https://collabera.com/join-us/careers/career-detail/?post=346307&refid=col_linkedin
3894547585,Tata Consultancy Services,Clinical Operations Business Analyst,"Experience in Clinical Vault applications especially with Veeva Vault ClinicalUnderstanding of clinical data (Study, Site Location, Clinical personnel etc.) standardization, and reporting perspective. Understanding of Vault Loader, updating and creating records / documents using Vault Loader.ITIL processes and Service Management using Service NowGood understanding of SDLC","Indianapolis, IN",False,Mid-Senior level,Full-time,Veeva vault,0.0,https://ibegin.tcs.com/iBegin/jobs/306860J
3894547586,Tata Consultancy Services,Software Developer,"Technical/Functional Skills

Python, Java, SQL, UNIX/Linux, FastAPI, VueJS, BootstrapVue, CPU, GPU knowledge, Knowledge of hardware architecture, networking protocols, OS knowledge

Experience Required

 Extensive software development experience in Python, Java, SQL, UNIX/Linux, FastAPI, VueJS, BootstrapVue, containerized microservices, CI/CD pipelines Web application development, Uvicorn, Tomcat, JBoss or WebSphere. Strong understanding of computer architecture systems and concepts, including C","Austin, TX",False,Entry level,Full-time,"Unix , Python , Java , API(Application programming interface) , Bootstrap",0.0,https://ibegin.tcs.com/iBegin/jobs/306852J
3894548567,Tata Consultancy Services,Python API Developer (Python Binding for C++Library),"Technical/Functional Skills

 We are seeking a skilled Python API Developer on a short-term contract basis to create Python bindings for a C++ library. This role involves making our C++ APIs available to Python developers The ideal candidate will possess strong expertise in Python, API design, and experience in writing Python bindings for complex native APIs.*Key Responsibilities:* Develop Python bindings for our existing C++ library, ensuring seamless and efficient integration. Collaborate with","Cupertino, CA",True,Entry level,Full-time,Python,0.0,https://ibegin.tcs.com/iBegin/jobs/306849J
3894549545,Tata Consultancy Services,Developer,"Working in Veeva Vault features like document lifecycle, object lifecycle, atomic security, workflows, users and groups, etc. Working on REST APIs via postman for performing bulk updates like retrieve and initiate user actions, status update, etc. Working in MedComms Veeva Vault and Salesforce applications. In Veeva Vault, created new fields, roles, lifecycle, field dependencies, etc. as per the business requirements. Working on Veeva Vault Release, Salesforce release updates and performing the ","Chicago, IL",False,Entry level,Full-time,"Salesforce(SFDC) , VEEVA CRM",0.0,https://ibegin.tcs.com/iBegin/jobs/306863J
3894549547,Tata Consultancy Services,Developer,"Hadoop Developer

Mandatory Technical Skills

 Extensive knowledge of Hadoop stack and storage technologies HDFS, MapReduce, Yarn, HBASE, HIVE, sqoop, Impala , spark and oozie Extensive Knowledge on Bigdata Enterprise architecture (Cloudera preferred) Knowledge of JAVA/J2EE Experience in Datawarehouse concepts Must have experience in big data application for Banking or Financials Organization

Good To have

 Experience with Big Data Analytics & Business Intelligence and Industry standard tools i","Plano, TX",False,Entry level,Full-time,Hadoop,0.0,https://ibegin.tcs.com/iBegin/jobs/306854J
3894551517,Tata Consultancy Services,Senior Network Security Engineer,"Design and deploy functional and secure network environments in a multiple layered network environment.Develop and implement security measures such as web traffic decryption for servers and users.Configure and install various network devices and services (e.g., firewalls, VPN, and etc).Resolve escalated issues from support tiers by troubleshooting cloud and local infrastructure.Automate network tasks and validate their effectiveness.Monitor network performance and integrity, ensuring high availa","Charlotte, NC",False,Mid-Senior level,Full-time,"Network Engineer , Python , Network Security - Palo Alto",0.0,https://ibegin.tcs.com/iBegin/jobs/306857J
3894551518,Tata Consultancy Services,Data Analyst,"Relevant Experience

10+ Years

Technical/Functional Skills

Data

Experience Required

10

Roles & Responsibilities

Coordinate with business team to understand the gaps and enable the process to make QMS data is one source of truth.

Generic Managerial Skills 

Digital : Python for Data Science

","Bellevue, WA",False,Entry level,Full-time,Data Analyst,0.0,https://ibegin.tcs.com/iBegin/jobs/306838J
3894551519,Tata Consultancy Services,Analyst,"Job Title 

Data Scientist

Relevant Experience

7

Technical/Functional Skills

Ability to understand vast amounts of data, identify and fix data issues ,Data analysis and presentation ,Data insight generation ,Ability to thrive in a fast-paced, dynamic business environment ,Excellent technical & analytical skills with strong business acumen ,Strong communication skills,SQL, Excel

Experience Required

7years

Roles & Responsibilities

 Ability to understand vast amounts of data, identify and f","Plano, TX",False,Entry level,Full-time,Data Science,0.0,https://ibegin.tcs.com/iBegin/jobs/306837J
